date,return,strategy,growth_1
2021-03-29,0.001166862291467341,Baseline Equal Weight,1.1000009588673842
2021-03-30,-0.00335673742590914,Baseline Equal Weight,1.096308544480218
2021-03-31,-0.0011654710318685924,Baseline Equal Weight,1.0950308286296364
2021-04-01,0.011919235422438001,Baseline Equal Weight,1.1080827588709004
2021-04-05,0.005152482779723799,Baseline Equal Weight,1.1137921362044916
2021-04-06,0.00029015905144835763,Baseline Equal Weight,1.1141153130742434
2021-04-07,-0.0009851625251714458,Baseline Equal Weight,1.113017728419083
2021-04-08,-0.0011896458588350756,Baseline Equal Weight,1.111693631487659
2021-04-09,0.002584947891170808,Baseline Equal Weight,1.1145673015960011
2021-04-12,-0.00037056396292800553,Baseline Equal Weight,1.1141542831197717
2021-04-13,0.0018030353949631817,Baseline Equal Weight,1.1161631427276866
2021-04-14,0.0029439118121921126,Baseline Equal Weight,1.1194490285878962
2021-04-15,0.009653589624722736,Baseline Equal Weight,1.1302557301156781
2021-04-16,0.0028845720106958073,Baseline Equal Weight,1.1335160341596984
2021-04-19,-0.003685581075592137,Baseline Equal Weight,1.1293383689153191
2021-04-20,-0.008392591578321285,Baseline Equal Weight,1.1198602932312853
2021-04-21,0.010332327422379883,Baseline Equal Weight,1.1314310564482732
2021-04-22,-0.00956673855724155,Baseline Equal Weight,1.120606951335689
2021-04-23,0.008828568661872316,Baseline Equal Weight,1.1305003067485278
2021-04-26,0.0008393950486169643,Baseline Equal Weight,1.1314492431084724
2021-04-27,0.0009805905140329862,Baseline Equal Weight,1.1325587315033743
2021-04-28,0.0003766613471845037,Baseline Equal Weight,1.1329853226009479
2021-04-29,0.00901373365654723,Baseline Equal Weight,1.14319775053565
2021-04-30,-0.006816810626382175,Baseline Equal Weight,1.1354047879617424
2021-05-03,0.007437644948144584,Baseline Equal Weight,1.1438495256470251
2021-05-04,-0.0022056292417205192,Baseline Equal Weight,1.14132661768513
2021-05-05,0.006270642447277597,Baseline Equal Weight,1.1484834688201941
2021-05-06,0.008144083604476826,Baseline Equal Weight,1.1578368142086253
2021-05-07,0.00975833959958683,Baseline Equal Weight,1.1691353790425767
