date,family,method,method_label,fund,ticker,weight
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,SO,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,T,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,TMUS,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,TRX-USD,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,TTWO,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,UPS,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,USB,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,V,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,WFC,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,WMT,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,XLM-USD,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,XOM,0.016666666666666666
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,XRP-USD,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,ABBV,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,ABT,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,ADA-USD,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,ADBE,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,AEP,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,AMD,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,AMGN,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,AMT,0.016666666666666666
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,BA,0.016666666666666666
