date,family,method,method_label,fund,return,growth_1
2021-07-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.003319276751580391,1.359655233857573
2021-07-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.004222600044422764,1.3653965141084596
2021-07-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004456368982146852,1.3593118034346552
2021-07-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002064150118545993,1.3565059798144545
2021-07-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.013827538061438771,1.3377488417480008
2021-07-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.015066358575065886,1.3579038454811552
2021-07-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00036294994455476903,1.3583966966065832
2021-07-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009152874003879208,1.3459634627952575
2021-07-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0002967116982329765,1.3455640996904519
2021-07-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005926915110478048,1.3375890554958798
2021-07-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01125516992330089,1.322534263388726
2021-07-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.021631175612085163,1.2939262924843649
2021-07-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00382237344070413,1.2988721619789858
2021-07-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.019475689775563687,1.3241685932638043
2021-07-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.004038689909869442,1.3295164996003848
2021-07-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009003177527418416,1.3414863726719188
2021-07-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008081528935874216,1.3523276336097478
2021-07-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0025721215462906066,1.3558059846537998
2021-07-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005801781497373426,1.3636720747295923
2021-07-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008287916243945093,1.3749740746691579
2021-07-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0002946503033163239,1.3753792111973113
2021-08-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0004144954999887318,1.374809122703492
2021-08-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0028288713338389115,1.3786982808202082
2021-08-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0007458405075577712,1.3776699917946722
2021-08-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00673960073635782,1.3869549374858297
2021-08-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006646527998350749,1.39617337231028
2021-08-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007315313599437712,1.4063868183679142
2021-08-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008603524619973602,1.418486701984949
2021-08-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.018826363374262023,1.4451916480780762
2021-08-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002625219206319307,1.4413977032067293
2021-08-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.020129817437664732,1.47041277582735
2021-08-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.010206417890036734,1.4554051285664071
2021-08-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01732691011401144,1.4301874547242657
2021-08-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.007485685653352281,1.4194815210128318
2021-08-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008938631885490711,1.432169743797422
2021-08-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011897565649129138,1.4492090773449482
2021-08-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012504528730857167,1.4673307538896272
2021-08-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.012694146727758593,1.4487042420015996
2021-08-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00451458878940314,1.455244545931701
2021-08-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01813169968994699,1.428858488849434
2021-08-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02379895355093775,1.4628638256564248
2021-08-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.007717018870763703,1.4515748779084765
2021-08-31,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006168923814696692,1.4605295327416215
2021-09-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00753106769948908,1.4715288795298018
2021-09-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00768312946211247,1.4828348264184665
2021-09-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005255146579100645,1.4906273407838908
2021-09-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.038871006060093194,1.4326851563869396
2021-09-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0014823586030319191,1.4305614032199332
2021-09-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004918432983998411,1.4235252828287013
2021-09-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009854849916388297,1.4094966548142402
2021-09-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00206693304504435,1.4065833196015252
2021-09-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0021971675541553326,1.4034928203694805
2021-09-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012506311531714331,1.4210453388135456
2021-09-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.007747429861872601,1.4100358897205467
2021-09-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.014290287596920304,1.3898860713344607
2021-09-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.03197326112246712,1.345446881045204
2021-09-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.009154325818808817,1.333130221924216
2021-09-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02228527975650363,1.362839401871647
2021-09-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012227496358637291,1.37950351569544
2021-09-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01097219181239606,1.364367338515355
2021-09-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0011300515451716509,1.362825533096284
2021-09-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.013931467625262317,1.3438393733030722
2021-09-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006598131310457056,1.3527062019482883
2021-09-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0035514446158645407,1.3479021407905325
2021-10-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02459148163223035,1.3810490515278269
2021-10-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004810819522684362,1.3744050737889522
2021-10-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01148318808645099,1.3901876257582433
2021-10-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0055874747611099895,1.397955264030375
2021-10-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005238936078420631,1.4052790622991218
2021-10-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0023747030400701474,1.4019419418377332
2021-10-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004296087379301761,1.3959190767548904
2021-10-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005098322002961897,1.3888022318115167
2021-10-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008408065272775378,1.400479371627564
2021-10-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011900060022270065,1.4171451602098832
2021-10-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007837285263774918,1.4282517310906262
2021-10-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0005192856469341534,1.427510060466462
