date,sector,vader_sentiment,vader_sentiment_lag1,headline_count,ticker_news_count,tickers_in_sector,coverage_share,finance_sentiment,finance_sentiment_lag1,sentiment_difference
2022-06-28,Financials,0.11619583333333332,0.030147333333333342,26,4,5,0.8,0.08808369047619048,0.04098233333333335,-0.028112142857142836
2022-06-29,Financials,0.05522833333333334,0.11619583333333332,15,4,5,0.8,0.05522833333333334,0.08808369047619048,0.0
2022-06-30,Financials,0.1354057142857143,0.05522833333333334,18,5,5,1.0,0.17815857142857144,0.05522833333333334,0.04275285714285715
2022-07-01,Financials,0.06918333333333333,0.1354057142857143,10,5,5,1.0,0.06918333333333333,0.17815857142857144,0.0
2022-07-05,Financials,0.09732780952380952,0.06918333333333333,16,4,5,0.8,0.10254209523809524,0.06918333333333333,0.005214285714285713
2022-07-06,Financials,0.034421999999999994,0.09732780952380952,11,5,5,1.0,0.034421999999999994,0.10254209523809524,0.0
2022-07-07,Financials,0.18813266666666667,0.034421999999999994,17,5,5,1.0,0.18813266666666667,0.034421999999999994,0.0
2022-07-08,Financials,0.02326333333333334,0.18813266666666667,13,5,5,1.0,0.02326333333333334,0.18813266666666667,0.0
2022-07-11,Financials,0.1806987728937729,0.02326333333333334,36,5,5,1.0,0.156189010989011,0.02326333333333334,-0.024509761904761895
2022-07-12,Financials,0.01541409523809525,0.1806987728937729,22,4,5,0.8,0.0018723809523809698,0.156189010989011,-0.01354171428571428
2022-07-13,Financials,-0.020761923076923077,0.01541409523809525,23,5,5,1.0,-0.02782038461538462,0.0018723809523809698,-0.007058461538461541
2022-07-14,Financials,-0.054771928571428576,-0.020761923076923077,50,4,5,0.8,-0.05134978571428571,-0.02782038461538462,0.0034221428571428666
2022-07-15,Financials,0.03811099999999999,-0.054771928571428576,55,5,5,1.0,0.11293433333333333,-0.05134978571428571,0.07482333333333334
2022-07-18,Financials,0.12111054621848741,0.03811099999999999,55,5,5,1.0,0.14009841596638656,0.11293433333333333,0.01898786974789915
2022-07-19,Financials,0.08478533333333332,0.12111054621848741,16,5,5,1.0,0.17654533333333333,0.14009841596638656,0.09176000000000001
2022-07-20,Financials,0.12118999999999999,0.08478533333333332,10,5,5,1.0,0.12118999999999999,0.17654533333333333,0.0
2022-07-21,Financials,0.16416499999999998,0.12118999999999999,8,4,5,0.8,0.16416499999999998,0.12118999999999999,0.0
2022-07-22,Financials,-0.009238333333333335,0.16416499999999998,16,5,5,1.0,0.05511666666666667,0.16416499999999998,0.064355
2022-07-25,Financials,0.128082,-0.009238333333333335,18,5,5,1.0,0.111932,0.05511666666666667,-0.016149999999999998
2022-07-26,Financials,-0.046189999999999995,0.128082,10,3,5,0.6,0.02395666666666666,0.111932,0.07014666666666666
2022-07-27,Financials,0.21092500000000003,-0.046189999999999995,10,5,5,1.0,0.222545,0.02395666666666666,0.011619999999999964
2022-07-28,Financials,-0.0035026666666666665,0.21092500000000003,22,5,5,1.0,0.0048439999999999985,0.222545,0.008346666666666665
2022-07-29,Financials,0.05444,-0.0035026666666666665,11,5,5,1.0,0.05444,0.0048439999999999985,0.0
2022-08-01,Financials,0.18658000000000002,0.05444,9,5,5,1.0,0.18658000000000002,0.05444,0.0
2022-08-02,Financials,0.09679600000000002,0.18658000000000002,12,4,5,0.8,0.07314100000000001,0.18658000000000002,-0.02365500000000001
2022-08-03,Financials,0.084515,0.09679600000000002,8,4,5,0.8,0.084515,0.07314100000000001,0.0
2022-08-04,Financials,0.025888999999999995,0.084515,9,2,5,0.4,0.044240999999999996,0.084515,0.018352
2022-08-05,Financials,0.13387666666666664,0.025888999999999995,6,3,5,0.6,0.13387666666666664,0.044240999999999996,0.0
2022-08-08,Financials,0.12589142857142857,0.13387666666666664,16,5,5,1.0,0.14972642857142857,0.13387666666666664,0.023834999999999995
2022-08-09,Financials,0.12018000000000002,0.12589142857142857,6,3,5,0.6,0.12018000000000002,0.14972642857142857,0.0
2022-08-10,Financials,0.2238425,0.12018000000000002,16,4,5,0.8,0.3253025,0.12018000000000002,0.10146
2022-08-11,Financials,-0.04968499999999999,0.2238425,8,4,5,0.8,-0.02801499999999999,0.3253025,0.021670000000000002
2022-08-12,Financials,0.198578,-0.04968499999999999,10,4,5,0.8,0.198578,-0.02801499999999999,0.0
2022-08-15,Financials,0.09562333333333332,0.198578,11,5,5,1.0,0.10908333333333334,0.198578,0.013460000000000014
2022-08-16,Financials,0.02023,0.09562333333333332,6,3,5,0.6,0.02023,0.10908333333333334,0.0
2022-08-17,Financials,0.06278000000000002,0.02023,9,4,5,0.8,0.06278000000000002,0.02023,0.0
2022-08-18,Financials,0.20482266666666665,0.06278000000000002,14,5,5,1.0,0.20482266666666665,0.06278000000000002,0.0
2022-08-19,Financials,0.03278666666666667,0.20482266666666665,10,4,5,0.8,0.03278666666666667,0.20482266666666665,0.0
2022-08-22,Financials,0.044505,0.03278666666666667,16,5,5,1.0,0.044505,0.03278666666666667,0.0
2022-08-23,Financials,0.21303200000000003,0.044505,7,3,5,0.6,0.21303200000000003,0.044505,0.0
2022-08-24,Financials,0.054753333333333334,0.21303200000000003,10,5,5,1.0,0.054753333333333334,0.21303200000000003,0.0
2022-08-25,Financials,0.017446,0.054753333333333334,14,5,5,1.0,0.017446,0.054753333333333334,0.0
2022-08-26,Financials,0.10244666666666666,0.017446,9,4,5,0.8,0.10244666666666666,0.017446,0.0
2022-08-29,Financials,0.082995,0.10244666666666666,13,4,5,0.8,0.082995,0.10244666666666666,0.0
2022-08-30,Financials,-0.016370000000000003,0.082995,10,4,5,0.8,0.02697,0.082995,0.043340000000000004
2022-08-31,Financials,0.061616666666666674,-0.016370000000000003,13,5,5,1.0,0.061616666666666674,0.02697,0.0
2022-09-01,Financials,0.277945,0.061616666666666674,13,5,5,1.0,0.28906099999999996,0.061616666666666674,0.01111599999999996
2022-09-02,Financials,0.11016466666666666,0.277945,15,5,5,1.0,0.11016466666666666,0.28906099999999996,0.0
2022-09-06,Financials,0.06870833333333334,0.11016466666666666,19,5,5,1.0,0.04933333333333333,0.11016466666666666,-0.01937500000000001
2022-09-07,Financials,0.00998,0.06870833333333334,9,5,5,1.0,0.00998,0.04933333333333333,0.0
2022-09-08,Financials,0.154652,0.00998,8,4,5,0.8,0.22499200000000003,0.00998,0.07034000000000001
2022-09-09,Financials,0.153283,0.154652,10,3,5,0.6,0.173039,0.22499200000000003,0.019755999999999996
2022-09-12,Financials,0.014843999999999996,0.153283,16,4,5,0.8,0.014843999999999996,0.173039,0.0
2022-09-13,Financials,0.11116999999999999,0.014843999999999996,11,4,5,0.8,0.12343857142857143,0.014843999999999996,0.012268571428571434
2022-09-14,Financials,-0.00844666666666666,0.11116999999999999,21,5,5,1.0,-0.00844666666666666,0.12343857142857143,0.0
2022-09-15,Financials,0.22598142857142856,-0.00844666666666666,14,4,5,0.8,0.22598142857142856,-0.00844666666666666,0.0
2022-09-16,Financials,0.100016,0.22598142857142856,13,5,5,1.0,0.100016,0.22598142857142856,0.0
2022-09-19,Financials,0.06296333333333333,0.100016,14,5,5,1.0,0.08898833333333334,0.100016,0.026025000000000006
2022-09-20,Financials,0.008696333333333339,0.06296333333333333,14,4,5,0.8,0.008696333333333339,0.08898833333333334,0.0
2022-09-21,Financials,0.028435,0.008696333333333339,10,5,5,1.0,0.028435,0.008696333333333339,0.0
2022-09-22,Financials,-0.043146666666666667,0.028435,15,5,5,1.0,-0.043146666666666667,0.028435,0.0
2022-09-23,Financials,0.09322666666666665,-0.043146666666666667,12,5,5,1.0,0.06900166666666667,-0.043146666666666667,-0.024224999999999983
2022-09-26,Financials,0.18393866666666664,0.09322666666666665,16,5,5,1.0,0.18393866666666664,0.06900166666666667,0.0
2022-09-27,Financials,0.03595411111111112,0.18393866666666664,20,4,5,0.8,0.03595411111111112,0.18393866666666664,0.0
2022-09-28,Financials,0.14922222222222223,0.03595411111111112,17,5,5,1.0,0.15520444444444442,0.03595411111111112,0.005982222222222194
2022-09-29,Financials,0.10194055555555555,0.14922222222222223,23,5,5,1.0,0.11253388888888889,0.15520444444444442,0.010593333333333343
2022-09-30,Financials,0.23364666666666664,0.10194055555555555,7,3,5,0.6,0.19749333333333335,0.11253388888888889,-0.03615333333333329
2022-10-03,Financials,0.225378,0.23364666666666664,12,4,5,0.8,0.24721800000000002,0.19749333333333335,0.021840000000000026
2022-10-04,Financials,0.24038547619047618,0.225378,21,4,5,0.8,0.296495,0.24721800000000002,0.05610952380952383
2022-10-05,Financials,0.12466333333333332,0.24038547619047618,11,4,5,0.8,0.09236333333333333,0.296495,-0.032299999999999995
2022-10-06,Financials,0.10615523809523811,0.12466333333333332,19,5,5,1.0,0.16086095238095238,0.09236333333333333,0.054705714285714274
2022-10-07,Financials,0.11608500000000002,0.10615523809523811,15,5,5,1.0,0.050705,0.16086095238095238,-0.06538000000000002
2022-10-10,Financials,0.10799600000000001,0.11608500000000002,26,5,5,1.0,0.07984,0.050705,-0.028156000000000014
2022-10-11,Financials,-0.283775,0.10799600000000001,21,5,5,1.0,-0.21837499999999999,0.07984,0.06540000000000001
2022-10-12,Financials,-0.01968266666666667,-0.283775,12,4,5,0.8,0.048324,-0.21837499999999999,0.06800666666666667
2022-10-13,Financials,0.048717333333333335,-0.01968266666666667,17,5,5,1.0,0.048717333333333335,0.048324,0.0
2022-10-14,Financials,0.13777425787106448,0.048717333333333335,66,5,5,1.0,0.19450308545727135,0.048717333333333335,0.05672882758620687
2022-10-17,Financials,0.12281533333333335,0.13777425787106448,33,5,5,1.0,0.20727275,0.19450308545727135,0.08445741666666666
2022-10-18,Financials,0.10424,0.12281533333333335,40,5,5,1.0,0.1229441379310345,0.20727275,0.018704137931034495
2022-10-19,Financials,0.07913333333333332,0.10424,27,5,5,1.0,0.11440083333333333,0.1229441379310345,0.03526750000000001
2022-10-20,Financials,0.03804333333333333,0.07913333333333332,11,4,5,0.8,0.050563333333333335,0.11440083333333333,0.012520000000000003
2022-10-21,Financials,-0.03816666666666667,0.03804333333333333,14,4,5,0.8,-0.036680000000000004,0.050563333333333335,0.001486666666666664
2022-10-24,Financials,-0.07891111111111111,-0.03816666666666667,14,4,5,0.8,-0.07891111111111111,-0.036680000000000004,0.0
2022-10-25,Financials,0.15346983333333333,-0.07891111111111111,18,4,5,0.8,0.16019983333333335,-0.07891111111111111,0.006730000000000014
2022-10-26,Financials,0.08054545454545455,0.15346983333333333,17,3,5,0.6,0.09429818181818181,0.16019983333333335,0.013752727272727264
2022-10-27,Financials,0.19666066666666668,0.08054545454545455,17,5,5,1.0,0.19666066666666668,0.09429818181818181,0.0
2022-10-28,Financials,0.029960000000000004,0.19666066666666668,9,5,5,1.0,0.07935,0.19666066666666668,0.04939
2022-10-31,Financials,0.21303999999999998,0.029960000000000004,15,5,5,1.0,0.22649999999999998,0.07935,0.01346
2022-11-01,Financials,0.03802333333333334,0.21303999999999998,9,4,5,0.8,0.03802333333333334,0.22649999999999998,0.0
